key,press_time,release_time,hold_time
g,1556412590.9450839,1556412591.024715,0.07963109016418457
',1556412591.1568289,1556412591.2572742,0.10044527053833008
s,1556412591.3080242,1556412591.3802938,0.07226967811584473
Key.space,1556412591.396917,1556412591.4772348,0.08031773567199707
Key.shift,1556412591.68715,1556412591.832155,0.1450049877166748
B,1556412591.758641,1556412591.834769,0.07612800598144531
a,1556412591.980963,1556412592.093025,0.11206197738647461
s,1556412592.04101,1556412592.165316,0.12430620193481445
e,1556412592.277993,1556412592.3621619,0.08416891098022461
b,1556412592.565988,1556412592.670403,0.1044149398803711
a,1556412592.895482,1556412592.9923341,0.09685206413269043
l,1556412593.0334852,1556412593.0902889,0.05680370330810547
l,1556412593.21706,1556412593.305273,0.08821296691894531
Key.space,1556412593.325956,1556412593.414217,0.08826088905334473
g,1556412593.648075,1556412593.704283,0.056207895278930664
Key.shift,1556412593.787067,1556412593.915477,0.12841010093688965
Key.backspace,1556412594.630996,1556412594.674774,0.0437779426574707
Key.shift,1556412594.7108831,1556412594.875031,0.16414785385131836
G,1556412594.80713,1556412594.891459,0.08432888984680176
u,1556412594.9380429,1556412595.010261,0.07221817970275879
i,1556412595.150943,1556412595.2110898,0.06014680862426758
d,1556412595.2790442,1556412595.370303,0.09125876426696777
e,1556412595.359016,1556412595.451259,0.09224295616149902
Key.space,1556412595.4923892,1556412595.5812218,0.08883261680603027
a,1556412596.1150038,1556412596.211534,0.09653019905090332
n,1556412596.194918,1556412596.287266,0.09234809875488281
d,1556412596.315915,1556412596.4122722,0.09635710716247559
Key.space,1556412596.427892,1556412596.5041568,0.07626485824584961
o,1556412596.59027,1556412596.6505642,0.060294151306152344
Key.shift,1556412596.693393,1556412596.9018729,0.2084798812866211
F,1556412596.865363,1556412596.922264,0.05690121650695801
f,1556412597.086936,1556412597.155255,0.06831908226013184
i,1556412597.296847,1556412597.3572,0.06035280227661133
c,1556412597.4547899,1556412597.5472472,0.09245729446411133
i,1556412597.578958,1556412597.635222,0.05626392364501953
a,1556412597.720891,1556412597.809216,0.08832502365112305
l,1556412597.848696,1556412597.94452,0.09582400321960449
Key.space,1556412597.9408588,1556412598.033112,0.09225320816040039
Key.shift,1556412598.157965,1556412598.322111,0.16414594650268555
L,1556412598.257911,1556412598.3179069,0.05999588966369629
e,1556412598.404865,1556412598.508737,0.10387206077575684
a,1556412598.4887638,1556412598.5851,0.09633612632751465
g,1556412598.8439198,1556412598.9442189,0.10029911994934082
u,1556412599.0107431,1556412599.043191,0.03244781494140625
e,1556412599.080915,1556412599.149227,0.06831192970275879
Key.space,1556412599.1968,1556412599.289084,0.09228396415710449
Key.shift,1556412599.363957,1556412599.499995,0.13603806495666504
B,1556412599.4398952,1556412599.5162082,0.07631301879882812
o,1556412599.682708,1556412599.7432268,0.060518741607666016
o,1556412599.854922,1556412600.007714,0.15279197692871094
k,1556412599.994829,1556412600.110523,0.11569404602050781
Key.space,1556412600.164168,1556412600.248624,0.08445620536804199
f,1556412600.359278,1556412600.455571,0.09629297256469727
o,1556412600.5074072,1556412600.571557,0.06414985656738281
r,1556412600.59233,1556412600.690287,0.09795713424682617
Key.space,1556412600.736767,1556412600.804332,0.0675649642944336
1,1556412600.990298,1556412601.079138,0.08884000778198242
8,1556412601.254127,1556412601.305134,0.05100703239440918
8,1556412601.426697,1556412601.490665,0.06396794319152832
9,1556412601.6379101,1556412601.7045782,0.06666803359985352
",",1556412602.239339,1556412602.312192,0.07285284996032715
Key.shift,1556412602.6005912,1556412602.837249,0.23665785789489746
"""",1556412602.7208781,1556412602.824811,0.10393285751342773
Key.space,1556412602.875795,1556412602.956021,0.08022618293762207
w,1556412603.341698,1556412603.433392,0.09169411659240723
r,1556412603.593784,1556412603.690274,0.09648990631103516
i,1556412603.728727,1556412603.793056,0.06432890892028809
t,1556412603.843134,1556412603.8911638,0.04802989959716797
t,1556412604.011845,1556412604.115412,0.10356688499450684
e,1556412604.1078668,1556412604.192055,0.08418822288513184
n,1556412604.2067761,1556412604.311136,0.10435986518859863
Key.space,1556412604.324769,1556412604.4210272,0.09625816345214844
i,1556412604.44589,1556412604.542104,0.09621405601501465
n,1556412604.620692,1556412604.676595,0.055902957916259766
Key.space,1556412604.684531,1556412604.769112,0.08458113670349121
t,1556412604.797837,1556412604.873929,0.07609200477600098
h,1556412604.8903449,1556412604.967097,0.0767521858215332
a,1556412604.993761,1556412605.113645,0.11988401412963867
t,1556412605.09367,1556412605.185227,0.09155702590942383
Key.space,1556412605.169954,1556412605.261869,0.09191489219665527
s,1556412605.311795,1556412605.46307,0.1512749195098877
a,1556412605.451848,1556412605.5517812,0.09993314743041992
m,1556412605.536033,1556412605.6161668,0.08013391494750977
Key.space,1556412605.647684,1556412605.736096,0.08841180801391602
e,1556412605.735913,1556412605.79615,0.06023693084716797
Key.backspace,1556412606.950121,1556412607.022389,0.07226800918579102
Key.backspace,1556412607.107181,1556412607.191209,0.08402800559997559
e,1556412607.183164,1556412607.271552,0.08838820457458496
Key.space,1556412607.231267,1556412607.323828,0.09256100654602051
y,1556412607.42365,1556412607.4998138,0.07616376876831055
e,1556412607.530802,1556412607.6072462,0.07644414901733398
a,1556412607.6070578,1556412607.738734,0.13167619705200195
r,1556412607.7510111,1556412607.842922,0.09191083908081055
;,1556412608.4886699,1556412608.604278,0.11560821533203125
Key.space,1556412608.596603,1556412608.672962,0.07635903358459473
t,1556412608.8265018,1556412608.9106922,0.08419036865234375
h,1556412608.922949,1556412609.0069,0.08395099639892578
e,1556412609.025685,1556412609.117569,0.09188389778137207
Key.space,1556412609.129569,1556412609.189763,0.06019401550292969
l,1556412609.2701209,1556412609.3389828,0.0688619613647461
a,1556412609.3976839,1556412609.490043,0.09235906600952148
n,1556412609.530727,1556412609.614982,0.08425498008728027
g,1556412609.694905,1556412609.76688,0.0719749927520752
u,1556412609.801497,1556412609.864887,0.06339001655578613
a,1556412609.8975549,1556412609.969955,0.07240009307861328
g,1556412610.063773,1556412610.131467,0.06769418716430664
e,1556412610.107602,1556412610.2037199,0.09611797332763672
Key.space,1556412610.207517,1556412610.267961,0.06044411659240723
h,1556412610.3677042,1556412610.435703,0.06799888610839844
a,1556412610.4477801,1556412610.567734,0.11995387077331543
s,1556412610.5117528,1556412610.614995,0.10324215888977051
Key.space,1556412610.595542,1556412610.687894,0.09235215187072754
n,1556412610.7809,1556412610.8648388,0.0839388370513916
o,1556412610.97265,1556412611.0330298,0.060379743576049805
t,1556412611.1335711,1556412611.221676,0.0881049633026123
Key.space,1556412611.3096478,1556412611.3778508,0.06820297241210938
b,1556412611.5343869,1556412611.566588,0.03220105171203613
e,1556412611.6147141,1556412611.686141,0.0714268684387207
e,1556412611.808657,1556412611.8960152,0.08735823631286621
n,1556412611.892583,1556412611.9929721,0.10038924217224121
Key.space,1556412612.0146,1556412612.0989718,0.08437180519104004
e,1556412612.098727,1556412612.206996,0.10826897621154785
d,1556412612.4767182,1556412612.5690272,0.09230899810791016
i,1556412612.642633,1556412612.702955,0.06032204627990723
t,1556412612.807662,1556412612.899296,0.09163403511047363
e,1556412612.871667,1556412612.959827,0.08816003799438477
d,1556412613.070643,1556412613.177927,0.1072840690612793
Key.space,1556412613.1585941,1556412613.246818,0.08822393417358398
t,1556412613.346438,1556412613.390441,0.04400300979614258
o,1556412613.402405,1556412613.474457,0.072052001953125
Key.space,1556412613.479626,1556412613.554934,0.07530808448791504
r,1556412614.034763,1556412614.1424158,0.10765266418457031
e,1556412614.118689,1556412614.2109702,0.09228110313415527
f,1556412614.305098,1556412614.3859289,0.08083081245422363
l,1556412614.434648,1556412614.518943,0.08429503440856934
e,1556412614.550642,1556412614.63487,0.0842280387878418
c,1556412614.806596,1556412614.886529,0.07993292808532715
t,1556412615.0426219,1556412615.137999,0.09537720680236816
Key.space,1556412615.130697,1556412615.218847,0.0881500244140625
m,1556412615.328654,1556412615.420855,0.09220099449157715
o,1556412615.527561,1556412615.595586,0.06802511215209961
d,1556412615.5994902,1556412615.739299,0.13980889320373535
e,1556412615.6594508,1556412615.7719061,0.11245536804199219
r,1556412615.888567,1556412615.9806259,0.09205889701843262
n,1556412615.992703,1556412616.084882,0.0921790599822998
Key.space,1556412616.128339,1556412616.204811,0.07647204399108887
e,1556412616.279549,1556412616.355934,0.0763850212097168
x,1556412616.508696,1556412616.608928,0.10023188591003418
